,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
447,Kuşadası Devlet Hast.,Aydın,3,"80,97","83,04",Ege Bölgesi
444,Söke Fehime Faik Kocagöz Devlet Hast.,Aydın,4,"79,68","80,76",Ege Bölgesi
199,Tutak İlçe Devlet Hast.,Ağrı,6,"72,36","72,67",Doğu Anadolu Bölgesi
200,Patnos Devlet Hast.,Ağrı,19,"73,69","80,51",Doğu Anadolu Bölgesi
201,Ağrı EAH.,Ağrı,58,"74,68","84,02",Doğu Anadolu Bölgesi
354,Ayvalık Devlet Hast.,Balıkesir,4,"79,5","84,8",Marmara Bölgesi
348,Dursunbey Devlet Hast.,Balıkesir,3,"75,58","76,14",Marmara Bölgesi
349,Susurluk Devlet Hast.,Balıkesir,4,"77,9","79,72",Marmara Bölgesi
350,Manyas Devlet Hast.,Balıkesir,3,"77,14","81,32",Marmara Bölgesi
351,İvrindi Devlet Hast.,Balıkesir,2,"84,08","84,08",Marmara Bölgesi
352,Bigadiç Devlet Hast.,Balıkesir,3,"79,99","80,85",Marmara Bölgesi
353,Balıkesir Atatürk Şehir Hast.,Balıkesir,21,"81,88","85,46",Marmara Bölgesi
174,Ulus Şehit Piyade Er Hasan Hüseyin Oğuz İlçe Devlet Hast.,Bartın,3,"74,96","74,96",Karadeniz Bölgesi
175,Bartın Devlet Hast.,Bartın,14,"75,47","82,73",Karadeniz Bölgesi
412,Kozluk Devlet Hast.,Batman,12,"80,02","81,24",Güneydoğu Anadolu Bölgesi
413,Gercüş Devlet Hast.,Batman,6,"80,28","80,79",Güneydoğu Anadolu Bölgesi
414,Hasankeyf İlçe Devlet Hast.,Batman,3,"81,04","81,13",Güneydoğu Anadolu Bölgesi
415,Batman Merkez TSM.,Batman,8,"81,05","83,03",Güneydoğu Anadolu Bölgesi
411,Batman Kozluk İlçe Sağlık Müd.,Batman,3,"79,27","79,27",Güneydoğu Anadolu Bölgesi
410,Sason Devlet Hast.,Batman,10,"78,5","80,22",Güneydoğu Anadolu Bölgesi
145,Bayburt Devlet Hast.,Bayburt,17,"73,32","74,39",Karadeniz Bölgesi
108,Gölpazarı İlçe Devlet Hast.,Bilecik,3,"73,73","73,73",Marmara Bölgesi
109,Pazaryeri İlçe Devlet Hast.,Bilecik,4,"74,47","74,87",Marmara Bölgesi
110,İnhisar İlçe Devlet Hast.,Bilecik,3,"74,08","74,08",Marmara Bölgesi
107,Yenipazar İlçe Devlet Hast.,Bilecik,3,74,74,Marmara Bölgesi
113,Bozüyük Devlet Hast.,Bilecik,28,"75,19","80,02",Marmara Bölgesi
112,Söğüt Devlet Hast.,Bilecik,4,"74,88","75,3",Marmara Bölgesi
111,Osmaneli Mustafa Selahattin Çetintaş Devlet Hast.,Bilecik,9,"74,17","74,96",Marmara Bölgesi
118,Genç Devlet Hast.,Bingöl,3,"76,3","76,47",Doğu Anadolu Bölgesi
117,Solhan Devlet Hast.,Bingöl,5,"74,99","76,02",Doğu Anadolu Bölgesi
119,Bingöl Devlet Hast.,Bingöl,19,"77,18","89,04",Doğu Anadolu Bölgesi
115,Kiğı İlçe Devlet Hast.,Bingöl,3,"73,3","73,3",Doğu Anadolu Bölgesi
114,Adaklı İlçe Devlet Hast.,Bingöl,3,"72,96","73,16",Doğu Anadolu Bölgesi
116,Karlıova Devlet Hast.,Bingöl,7,"73,97","75,11",Doğu Anadolu Bölgesi
326,Güroymak Devlet Hast.,Bitlis,13,"74,63","78,32",Doğu Anadolu Bölgesi
325,Tatvan Devlet Hast.,Bitlis,78,"76,55","82,65",Doğu Anadolu Bölgesi
324,Ahlat Devlet Hast.,Bitlis,20,"76,22","80,73",Doğu Anadolu Bölgesi
323,Bitlis Devlet Hast.,Bitlis,28,"76,16","81,66",Doğu Anadolu Bölgesi
322,Hizan Devlet Hast.,Bitlis,11,"74,07","75,91",Doğu Anadolu Bölgesi
362,Bolu İzzet Baysal Devlet Hast.,Bolu,16,"76,25","82,02",Karadeniz Bölgesi
417,Burdur Devlet Hast.,Burdur,13,"78,37","87,45",Akdeniz Bölgesi
416,Bucak Devlet Hast.,Burdur,11,"78,22","80,03",Akdeniz Bölgesi
263,Çekirge Devlet Hast.,Bursa,20,"77,63","83,37",Marmara Bölgesi
264,Bursa Şehir Hast.,Bursa,91,"78,06","90,22",Marmara Bölgesi
262,Bursa Yüksek İhtisas EAH.,Bursa,29,"77,42","84,31",Marmara Bölgesi
261,Kestel Devlet Hast.,Bursa,14,"79,69","80,59",Marmara Bölgesi
259,İnegöl Devlet Hast.,Bursa,18,"78,38","82,67",Marmara Bölgesi
258,Karacabey Devlet Hast.,Bursa,14,"78,79","80,41",Marmara Bölgesi
257,Mustafakemalpaşa Devlet Hast.,Bursa,14,"81,13","84,29",Marmara Bölgesi
260,Gemlik Devlet Hast.,Bursa,22,"78,14","79,13",Marmara Bölgesi
448,Denizli Devlet Hast.,Denizli,21,"79,53","81,68",Ege Bölgesi
449,Denizli Servergazi Devlet Hast.,Denizli,9,"80,94","83,09",Ege Bölgesi
430,Diyarbakır Selahaddin Eyyubi Devlet Hast.,Diyarbakır,10,"84,18","88,37",Güneydoğu Anadolu Bölgesi
424,Hazro İlçe Devlet Hast.,Diyarbakır,3,"80,82","80,82",Güneydoğu Anadolu Bölgesi
423,Diyarbakır Çermik İlçe Sağlık Müd.,Diyarbakır,4,"78,92","79,05",Güneydoğu Anadolu Bölgesi
422,Çüngüş İlçe Devlet Hast.,Diyarbakır,2,"79,24","79,24",Güneydoğu Anadolu Bölgesi
421,Diyarbakır Lice TSM.,Diyarbakır,2,"78,39","78,39",Güneydoğu Anadolu Bölgesi
425,Diyarbakır Bismil İlçe Sağlık Müd.,Diyarbakır,4,"81,19","82,03",Güneydoğu Anadolu Bölgesi
420,Diyarbakır Hani İlçe Sağlık Müd.,Diyarbakır,4,"80,36","81,98",Güneydoğu Anadolu Bölgesi
429,Silvan Dr.Yusuf Azizoğlu Devlet Hast.,Diyarbakır,3,"84,28","84,28",Güneydoğu Anadolu Bölgesi
427,Diyarbakır Silvan İlçe Sağlık Müd.,Diyarbakır,5,"81,28","82,74",Güneydoğu Anadolu Bölgesi
428,Diyarbakır Eğil TSM.,Diyarbakır,2,"82,26","82,26",Güneydoğu Anadolu Bölgesi
432,Diyarbakır Gazi Yaşargil EAH.,Diyarbakır,22,"84,92","88,99",Güneydoğu Anadolu Bölgesi
418,Diyarbakır Kulp İlçe Sağlık Müd.,Diyarbakır,3,"76,93","76,93",Güneydoğu Anadolu Bölgesi
419,Diyarbakır Dicle İlçe Sağlık Müd.,Diyarbakır,2,"80,83","80,83",Güneydoğu Anadolu Bölgesi
431,Diyarbakır Ergani İlçe Sağlık Müd.,Diyarbakır,6,"81,62","82,89",Güneydoğu Anadolu Bölgesi
426,Kocaköy İlçe Devlet Hast.,Diyarbakır,4,"82,19","82,82",Güneydoğu Anadolu Bölgesi
132,Düzce Atatürk Devlet Hast.,Düzce,30,"74,64","79,59",Karadeniz Bölgesi
131,Akçakoca Devlet Hast.,Düzce,3,"78,97","78,97",Karadeniz Bölgesi
130,Yığılca İlçe Devlet Hast.,Düzce,3,"73,28","73,34",Karadeniz Bölgesi
273,Uzunköprü Devlet Hast.,Edirne,8,"73,84","74,65",Marmara Bölgesi
276,Edirne Sultan 1. Murat Devlet Hast.,Edirne,24,"75,19","84,11",Marmara Bölgesi
275,Süloğlu İlçe Devlet Hast.,Edirne,2,"73,28","73,28",Marmara Bölgesi
274,Keşan Devlet Hast.,Edirne,6,"73,51","75,7",Marmara Bölgesi
400,Elazığ Kovancılar İlçe Sağlık Müd.,Elazığ,3,"76,47","76,47",Doğu Anadolu Bölgesi
404,Kovancılar Devlet Hast.,Elazığ,4,"77,89","78,08",Doğu Anadolu Bölgesi
403,Palu İlçe Devlet Hast.,Elazığ,4,"77,49","78,42",Doğu Anadolu Bölgesi
399,Elazığ Palu TSM.,Elazığ,2,"77,03","77,03",Doğu Anadolu Bölgesi
401,Karakoçan Devlet Hast.,Elazığ,6,"77,15","82,47",Doğu Anadolu Bölgesi
402,Elazığ Karakoçan TSM.,Elazığ,2,"79,96","79,96",Doğu Anadolu Bölgesi
405,Baskil İlçe Devlet Hast.,Elazığ,2,"79,67","79,67",Doğu Anadolu Bölgesi
20,Çayırlı İlçe Devlet Hast.,Erzincan,3,"73,08","73,08",Doğu Anadolu Bölgesi
21,İliç İlçe Devlet Hast.,Erzincan,3,"72,48","73,4",Doğu Anadolu Bölgesi
22,Kemah İlçe Devlet Hast.,Erzincan,6,"72,5","72,76",Doğu Anadolu Bölgesi
23,Tercan İlçe Devlet Hast.,Erzincan,8,"73,03","75,31",Doğu Anadolu Bölgesi
24,Refahiye Dr. Fahrettin Uğur İlçe Devlet Hast.,Erzincan,6,"73,39","73,66",Doğu Anadolu Bölgesi
25,Üzümlü İlçe Devlet Hast.,Erzincan,6,"74,1","74,1",Doğu Anadolu Bölgesi
26,Kemaliye İlçe Devlet Hast.,Erzincan,4,"73,68","75,34",Doğu Anadolu Bölgesi
16,Pasinler İbrahim Hakkı Devlet Hast.,Erzurum,5,"74,62","74,89",Doğu Anadolu Bölgesi
18,Çat İlçe Devlet Hast.,Erzurum,2,"76,84","76,84",Doğu Anadolu Bölgesi
19,Erzurum Mareşal Çakmak Devlet Hast.,Erzurum,9,"84,79","86,05",Doğu Anadolu Bölgesi
15,Tortum İlçe Devlet Hast.,Erzurum,5,"73,7","74,64",Doğu Anadolu Bölgesi
14,Horasan Devlet Hast.,Erzurum,10,"74,27","75,2",Doğu Anadolu Bölgesi
13,Aşkale İlçe Devlet Hast.,Erzurum,7,"74,41","74,41",Doğu Anadolu Bölgesi
12,Hınıs Şehit Yavuz Yürekseven Devlet Hast.,Erzurum,6,"74,56","80,62",Doğu Anadolu Bölgesi
11,Karayazı Türk Eczacıları Birliği İlçe Devlet Hast.,Erzurum,3,"71,8","71,8",Doğu Anadolu Bölgesi
10,Karaçoban İlçe Devlet Hast.,Erzurum,4,"72,45","74,18",Doğu Anadolu Bölgesi
9,Tekman Şehit Piyade Çavuş Muhammet Binici Devlet Hast.,Erzurum,7,"74,33","75,13",Doğu Anadolu Bölgesi
17,Erzurum Bölge EAH.,Erzurum,55,"75,28","85,07",Doğu Anadolu Bölgesi
450,Eskişehir Şehir Hast.,Eskişehir,35,"80,22","90,29",İç Anadolu Bölgesi
451,Eskişehir Yunus Emre Devlet Hast.,Eskişehir,14,"83,91","87,7",İç Anadolu Bölgesi
396,İslahiye Devlet Hast.,Gaziantep,12,"75,63","79,09",Güneydoğu Anadolu Bölgesi
398,Gaziantep 25 Aralık Devlet Hast.,Gaziantep,28,"85,38","88,27",Güneydoğu Anadolu Bölgesi
397,Gaziantep Şehitkamil Devlet Hast.,Gaziantep,40,"76,23","84,22",Güneydoğu Anadolu Bölgesi
30,Güce İlçe Devlet Hast.,Giresun,2,"72,5","72,5",Karadeniz Bölgesi
29,Alucra İlçe Devlet Hast.,Giresun,12,"72,53","74,27",Karadeniz Bölgesi
27,Çamoluk İlçe Devlet Hast.,Giresun,4,"73,15","73,22",Karadeniz Bölgesi
28,Şebinkarahisar Devlet Hast.,Giresun,16,"73,24","74,92",Karadeniz Bölgesi
34,Giresun Doğankent TSM.,Giresun,2,"78,59","78,59",Karadeniz Bölgesi
36,Giresun Çanakçı TSM.,Giresun,2,"71,66","71,66",Karadeniz Bölgesi
32,Görele Op. Dr. Ergun Özdemir Devlet Hast.,Giresun,10,"73,61","77,22",Karadeniz Bölgesi
33,Yağlıdere İlçe Devlet Hast.,Giresun,3,"71,72","72,22",Karadeniz Bölgesi
35,Tirebolu Devlet Hast.,Giresun,8,"73,88","74,96",Karadeniz Bölgesi
31,Dereli İlçe Devlet Hast.,Giresun,5,"72,67","73,49",Karadeniz Bölgesi
5,Kürtün İlçe Devlet Hast.,Gümüşhane,11,"72,5","74,22",Karadeniz Bölgesi
6,Kelkit Devlet Hast.,Gümüşhane,19,"73,19","74,45",Karadeniz Bölgesi
4,Şiran Devlet Hast.,Gümüşhane,10,"72,68","73,96",Karadeniz Bölgesi
8,Köse İlçe Devlet Hast.,Gümüşhane,5,"71,79","72,51",Karadeniz Bölgesi
7,Gümüşhane Devlet Hast.,Gümüşhane,27,"73,6","76,39",Karadeniz Bölgesi
222,Yüksekova Devlet Hast.,Hakkari,18,"75,14","79,57",Doğu Anadolu Bölgesi
220,Hakkari Devlet Hast.,Hakkari,20,"74,91","82,84",Doğu Anadolu Bölgesi
