,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
222,16.12.2021,Kahramanmaraş Necip Fazıl Şehir Hast.,Kahramanmaraş,7,"79,12","83,73",Akdeniz Bölgesi
223,16.12.2021,Kahramanmaraş Çağlayancerit TSM.,Kahramanmaraş,1,"83,37","83,37",Akdeniz Bölgesi
626,16.12.2021,Tufanbeyli Devlet Hast.,Adana,7,"74,55","76,91",Akdeniz Bölgesi
627,16.12.2021,Pozantı 80.Yıl Devlet Hast.,Adana,4,"76,89","78,4",Akdeniz Bölgesi
628,16.12.2021,Kozan Devlet Hast.,Adana,11,"77,33","83,42",Akdeniz Bölgesi
629,16.12.2021,Ceyhan Devlet Hast.,Adana,7,"78,24","83,73",Akdeniz Bölgesi
630,16.12.2021,Adana Yüreğir Devlet Hast.,Adana,5,"78,63","81,36",Akdeniz Bölgesi
631,16.12.2021,Adana Şehir Hast.,Adana,68,"78,73","86,24",Akdeniz Bölgesi
632,16.12.2021,İmamoğlu Devlet Hast.,Adana,1,"80,38","80,38",Akdeniz Bölgesi
633,16.12.2021,Adana Dr.Ekrem Tok Ruh Sağ.ve Hastal.Hast.,Adana,2,"80,62","82,38",Akdeniz Bölgesi
634,16.12.2021,Şehit Uzman Çavuş Adem Ambarcı İlçe Devlet Hast.,Adana,1,"81,49","81,49",Akdeniz Bölgesi
635,16.12.2021,Seyhan Devlet Hast.,Adana,4,"81,83","86,53",Akdeniz Bölgesi
721,16.12.2021,Gülnar Devlet Hast.,Mersin,2,"75,37","76,72",Akdeniz Bölgesi
722,16.12.2021,Mut Devlet Hast.,Mersin,7,"75,53","79,85",Akdeniz Bölgesi
723,16.12.2021,Aydıncık Devlet Hast.,Mersin,1,"76,08","76,08",Akdeniz Bölgesi
724,16.12.2021,Anamur Devlet Hast.,Mersin,6,"76,96","89,57",Akdeniz Bölgesi
725,16.12.2021,Silifke Devlet Hast.,Mersin,7,"79,08","82,67",Akdeniz Bölgesi
726,16.12.2021,Tarsus Devlet Hast.,Mersin,6,"80,04","83,28",Akdeniz Bölgesi
727,16.12.2021,Toros Devlet Hast.,Mersin,7,"82,12","88,45",Akdeniz Bölgesi
728,16.12.2021,Mersin Ağız Diş Sağlığı Hast.,Mersin,2,"82,38","83,63",Akdeniz Bölgesi
729,16.12.2021,Mersin Şehir Hast.,Mersin,11,"82,83","87,33",Akdeniz Bölgesi
730,16.12.2021,Çamlıyayla İlçe Devlet Hast.,Mersin,1,"91,27","91,27",Akdeniz Bölgesi
731,16.12.2021,Düziçi Devlet Hast.,Osmaniye,6,"75,52","78,38",Akdeniz Bölgesi
732,16.12.2021,Bahçe Fizik Tedavi ve Reh.Hast.,Osmaniye,6,"76,03","77,47",Akdeniz Bölgesi
733,16.12.2021,Osmaniye Devlet Hast.,Osmaniye,31,"76,11","82,68",Akdeniz Bölgesi
734,16.12.2021,Osmaniye Hasanbeyli TSM.,Osmaniye,1,"77,17","77,17",Akdeniz Bölgesi
735,16.12.2021,Kadirli Devlet Hast.,Osmaniye,1,"79,63","79,63",Akdeniz Bölgesi
736,16.12.2021,Osmaniye Bahçe TSM.,Osmaniye,1,"79,81","79,81",Akdeniz Bölgesi
737,16.12.2021,Osmaniye Sumbas TSM.,Osmaniye,1,"81,93","81,93",Akdeniz Bölgesi
738,16.12.2021,Osmaniye Toprakkale TSM.,Osmaniye,1,"86,5","86,5",Akdeniz Bölgesi
807,16.12.2021,Kumlu İlçe Devlet Hast.,Hatay,1,"76,89","76,89",Akdeniz Bölgesi
808,16.12.2021,Reyhanlı Devlet Hast.,Hatay,9,"76,93","77,91",Akdeniz Bölgesi
809,16.12.2021,Hassa Devlet Hast.,Hatay,2,"77,24","79,97",Akdeniz Bölgesi
810,16.12.2021,Kırıkhan Devlet Hast.,Hatay,7,"77,69","83,09",Akdeniz Bölgesi
811,16.12.2021,Yayladağı Devlet Hast.,Hatay,1,"77,76","77,76",Akdeniz Bölgesi
812,16.12.2021,Erzin Devlet Hast.,Hatay,1,"77,8","77,8",Akdeniz Bölgesi
813,16.12.2021,Dörtyol Devlet Hast.,Hatay,9,"77,96","81,95",Akdeniz Bölgesi
814,16.12.2021,Hatay EAH.,Hatay,31,"78,02","84,45",Akdeniz Bölgesi
815,16.12.2021,Altınözü Devlet Hast.,Hatay,2,"78,35","78,53",Akdeniz Bölgesi
816,16.12.2021,İskenderun Devlet Hast.,Hatay,16,"78,81","82,4",Akdeniz Bölgesi
817,16.12.2021,Samandağ Devlet Hast.,Hatay,5,"78,95","80,74",Akdeniz Bölgesi
818,16.12.2021,Hatay İl Sağlık Müd.,Hatay,2,"87,87","88,27",Akdeniz Bölgesi
887,16.12.2021,Bucak Devlet Hast.,Burdur,7,"78,22","80,03",Akdeniz Bölgesi
888,16.12.2021,Burdur Devlet Hast.,Burdur,9,"78,37","87,45",Akdeniz Bölgesi
911,16.12.2021,Akseki İlçe Devlet Hast.,Antalya,1,"78,78","78,78",Akdeniz Bölgesi
912,16.12.2021,Alanya EAH.,Antalya,16,"78,96","83,8",Akdeniz Bölgesi
913,16.12.2021,Elmalı Devlet Hast.,Antalya,2,"79,4","80,3",Akdeniz Bölgesi
914,16.12.2021,Demre Devlet Hast.,Antalya,2,"80,77","80,77",Akdeniz Bölgesi
915,16.12.2021,Korkuteli Devlet Hast.,Antalya,1,"80,9","80,9",Akdeniz Bölgesi
916,16.12.2021,Serik Devlet Hast.,Antalya,2,"80,96","81,26",Akdeniz Bölgesi
917,16.12.2021,Finike Devlet Hast.,Antalya,5,"81,27","88,18",Akdeniz Bölgesi
918,16.12.2021,Antalya EAH.,Antalya,13,"81,88","88,86",Akdeniz Bölgesi
919,16.12.2021,Kepez Devlet Hast.,Antalya,6,"82,43","84,41",Akdeniz Bölgesi
920,16.12.2021,Antalya Atatürk Devlet Hast.,Antalya,2,"84,99","85,35",Akdeniz Bölgesi
