,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
189,16.12.2021,Uzunköprü Devlet Hast.,Edirne,6,"73,84","74,65",Marmara Bölgesi
190,16.12.2021,Edirne Sultan 1. Murat Devlet Hast.,Edirne,18,"75,19","84,11",Marmara Bölgesi
191,16.12.2021,Edirne Uzunköprü İlçe Sağlık Müd.,Edirne,1,"83,11","83,11",Marmara Bölgesi
289,16.12.2021,Demirköy İlçe Devlet Hast.,Kırklareli,2,"72,59","72,71",Marmara Bölgesi
290,16.12.2021,Babaeski Devlet Hast.,Kırklareli,2,"73,33","79,6",Marmara Bölgesi
291,16.12.2021,Kırklareli EAH.,Kırklareli,10,"73,64","77,16",Marmara Bölgesi
292,16.12.2021,Lüleburgaz Devlet Hast.,Kırklareli,17,"73,84","79,06",Marmara Bölgesi
293,16.12.2021,Kırklareli Vize TSM.,Kırklareli,1,"76,39","76,39",Marmara Bölgesi
294,16.12.2021,Kırklareli Kofçaz TSM.,Kırklareli,1,"81,45","81,45",Marmara Bölgesi
400,16.12.2021,Marmaraereğlisi İlçe Devlet Hast.,Tekirdağ,2,"73,28","73,55",Marmara Bölgesi
401,16.12.2021,Tekirdağ Saray Devlet Hast.,Tekirdağ,2,"73,29","74,15",Marmara Bölgesi
402,16.12.2021,Tekirdağ Dr. İsmail Fehmi Cumalıoğlu Şehir Hast.,Tekirdağ,90,"74,07","82,35",Marmara Bölgesi
403,16.12.2021,Çerkezköy Devlet Hast.,Tekirdağ,21,"74,22","82,74",Marmara Bölgesi
404,16.12.2021,Çorlu Devlet Hast.,Tekirdağ,21,"74,51","83,5",Marmara Bölgesi
405,16.12.2021,Kapaklı Devlet Hast.,Tekirdağ,2,"74,79","75,26",Marmara Bölgesi
406,16.12.2021,Malkara Devlet Hast.,Tekirdağ,1,"75,07","75,07",Marmara Bölgesi
407,16.12.2021,Hayrabolu Devlet Hast.,Tekirdağ,1,"75,3","75,3",Marmara Bölgesi
408,16.12.2021,Şarköy Devlet Hast.,Tekirdağ,1,"76,4","76,4",Marmara Bölgesi
409,16.12.2021,Muratlı Devlet Hast.,Tekirdağ,1,"82,18","82,18",Marmara Bölgesi
445,16.12.2021,Gölpazarı İlçe Devlet Hast.,Bilecik,1,"73,73","73,73",Marmara Bölgesi
446,16.12.2021,Yenipazar İlçe Devlet Hast.,Bilecik,1,74,74,Marmara Bölgesi
447,16.12.2021,İnhisar İlçe Devlet Hast.,Bilecik,1,"74,08","74,08",Marmara Bölgesi
448,16.12.2021,Osmaneli Mustafa Selahattin Çetintaş Devlet Hast.,Bilecik,4,"74,17","74,96",Marmara Bölgesi
449,16.12.2021,Pazaryeri İlçe Devlet Hast.,Bilecik,2,"74,47","74,87",Marmara Bölgesi
450,16.12.2021,Bilecik EAH.,Bilecik,31,"74,54","78,83",Marmara Bölgesi
451,16.12.2021,Söğüt Devlet Hast.,Bilecik,2,"74,88","75,3",Marmara Bölgesi
452,16.12.2021,Bozüyük Devlet Hast.,Bilecik,22,"75,19","80,02",Marmara Bölgesi
526,16.12.2021,Akyazı Devlet Hast.,Sakarya,7,"74,15","76,4",Marmara Bölgesi
527,16.12.2021,Hendek Devlet Hast.,Sakarya,8,"74,59","75,83",Marmara Bölgesi
528,16.12.2021,Sakarya EAH.,Sakarya,128,"74,65","87,65",Marmara Bölgesi
529,16.12.2021,Kaynarca Şehit Gökhan Ayder İlçe Devlet Hast.,Sakarya,1,"74,86","74,86",Marmara Bölgesi
530,16.12.2021,Yenikent Devlet Hast.,Sakarya,6,"75,92","77,85",Marmara Bölgesi
531,16.12.2021,Karasu Devlet Hast.,Sakarya,6,"75,98","81,52",Marmara Bölgesi
532,16.12.2021,Toyotasa Acil Yardım Hast.,Sakarya,6,"77,49","83,66",Marmara Bölgesi
533,16.12.2021,Sapanca İlçe Devlet Hast.,Sakarya,1,"79,87","79,87",Marmara Bölgesi
534,16.12.2021,Sakarya Kocaali TSM.,Sakarya,1,"85,45","85,45",Marmara Bölgesi
535,16.12.2021,Kandıra Ecz. Kazım Dinç Devlet Hast.,Kocaeli,8,"74,16","75,59",Marmara Bölgesi
536,16.12.2021,Dilovası Devlet Hast.,Kocaeli,6,"74,99","76,74",Marmara Bölgesi
537,16.12.2021,Derince EAH.,Kocaeli,31,"75,24","79,76",Marmara Bölgesi
538,16.12.2021,Gölcük Necati Çelik Devlet Hast.,Kocaeli,10,"75,46","78,51",Marmara Bölgesi
539,16.12.2021,Karamürsel Devlet Hast.,Kocaeli,6,"75,5","76,41",Marmara Bölgesi
540,16.12.2021,Gebze Fatih Devlet Hast.,Kocaeli,21,"75,57","82,43",Marmara Bölgesi
541,16.12.2021,Kocaeli İzmit Seka Devlet Hast.,Kocaeli,12,"76,2","81,62",Marmara Bölgesi
542,16.12.2021,Darıca Farabi EAH.,Kocaeli,13,"76,21","80,42",Marmara Bölgesi
543,16.12.2021,Kocaeli Devlet Hast.,Kocaeli,16,"77,36","81,32",Marmara Bölgesi
544,16.12.2021,Körfez Devlet Hast.,Kocaeli,2,"77,63","81,05",Marmara Bölgesi
545,16.12.2021,Kocaeli Dilovası İlçe Sağlık Müd.,Kocaeli,1,"78,18","78,18",Marmara Bölgesi
546,16.12.2021,Kocaeli Kandıra İlçe Sağlık Müd.,Kocaeli,1,"79,64","79,64",Marmara Bölgesi
547,16.12.2021,Kocaeli Çayırova İlçe Sağlık Müd.,Kocaeli,1,"80,42","80,42",Marmara Bölgesi
